episode,win_rate,avg_reward,accuracy,epsilon
89,19.0,-70.43,52.83018867924528,0.12802187455153333
90,23.0,-54.68,54.684512428298284,0.12738176517877567
91,17.0,-79.56,51.26135216952573,0.1267448563528818
92,16.0,-76.06,53.72848948374761,0.12611113207111738
93,24.0,-62.1,53.216374269005854,0.1254805764107618
94,32.0,-37.3,54.81986368062317,0.12485317352870799
95,19.0,-63.68,53.883495145631066,0.12422890766106445
96,21.0,-59.85,54.46685878962536,0.12360776312275913
97,22.0,-66.2,52.37623762376238,0.12298972430714533
98,25.0,-53.42,54.88505747126437,0.1223747756856096
99,21.0,-55.67,55.53470919324578,0.12176290180718155
100,17.0,-84.63,50.30425963488844,0.12115408729814564
101,20.0,-66.94,53.045186640471506,0.12054831686165492
102,16.0,-79.03,51.74476570289133,0.11994557527734664
103,25.0,-58.47,53.27468230694037,0.11934584740095991
104,24.0,-58.58,53.75,0.11874911816395511
105,19.0,-71.76,52.59042033235581,0.11815537257313534
106,23.0,-54.41,55.61904761904762,0.11756459571026966
107,21.0,-63.14,54.079696394686906,0.1169767727317183
108,24.0,-57.85,53.405725567620934,0.1163918888680597
109,14.000000000000002,-78.6,53.567937438905176,0.11580992942371941
110,23.0,-59.26,53.515625,0.11523087977660082
111,18.0,-65.74,55.41941564561734,0.11465472537771781
112,20.0,-62.78,54.71877979027645,0.11408145175082922
113,25.0,-51.03,54.307841239109386,0.11351104449207507
114,23.0,-62.61,53.444881889763785,0.11294348926961469
115,22.0,-58.3,54.71698113207547,0.11237877182326661
116,19.0,-66.7,53.9651837524178,0.11181687796415028
117,25.0,-45.96,56.638811513463324,0.11125779357432954
118,23.0,-58.73,53.905496624879454,0.11070150460645789
119,33.0,-25.87,56.79925994449584,0.1101479970834256
120,18.0,-64.65,54.743833017077804,0.10959725709800847
121,28.999999999999996,-39.88,55.27065527065527,0.10904927081251842
122,30.0,-45.33,54.20289855072464,0.10850402445845582
123,27.0,-49.06,54.84171322160149,0.10796150433616354
124,30.0,-35.14,55.8567279767667,0.10742169681448273
125,22.0,-55.97,54.76419634263715,0.10688458833041031
126,23.0,-63.4,52.95857988165681,0.10635016538875826
127,20.0,-59.69,55.13059701492538,0.10581841456181447
128,24.0,-56.58,54.492753623188406,0.1052893224890054
129,28.000000000000004,-44.81,54.385964912280706,0.10476287587656037
130,20.0,-61.49,54.31619786614937,0.10423906149717757
131,21.0,-65.2,53.93586005830904,0.10371786618969168
132,20.0,-60.01,54.50191570881226,0.10319927685874322
133,22.0,-64.82,52.841475573280164,0.10268328047444951
134,16.0,-76.14,53.23529411764706,0.10216986407207726
135,19.0,-73.42,52.208835341365464,0.10165901475171688
136,17.0,-71.67,53.84615384615385,0.10115071967795829
137,21.0,-64.13,53.49065880039331,0.10064496607956849
138,16.0,-72.12,54.09219190968956,0.10014174124917065
139,30.0,-40.8,54.54545454545454,0.09964103254292479
140,33.0,-33.16,55.938697318007655,0.09914282738021017
141,23.0,-56.98,53.89162561576355,0.09864711324330912
142,22.0,-63.15,53.85356454720617,0.09815387767709258
143,30.0,-36.98,55.367231638418076,0.09766310828870711
144,15.0,-80.88,51.97568389057751,0.09717479274726358
145,26.0,-46.02,55.75304022450889,0.09668891878352726
